Series Name;Series Code;Country Name;Country Code;Time;Time Code;Value
Population, total;SP.POP.TOTL;United States;USA;2004;YR2004;292805298
Population, total;SP.POP.TOTL;United States;USA;2005;YR2005;295516599
Population, total;SP.POP.TOTL;United States;USA;2006;YR2006;298379912
Population, total;SP.POP.TOTL;United States;USA;2007;YR2007;301231207
Population, total;SP.POP.TOTL;United States;USA;2008;YR2008;304093966
Population, total;SP.POP.TOTL;United States;USA;2009;YR2009;306771529
Population, total;SP.POP.TOTL;United States;USA;2010;YR2010;309378227
Population, total;SP.POP.TOTL;United States;USA;2011;YR2011;311839461
Population, total;SP.POP.TOTL;United States;USA;2012;YR2012;314339099
Population, total;SP.POP.TOTL;United States;USA;2013;YR2013;316726282
Population, total;SP.POP.TOTL;United States;USA;2014;YR2014;319257560
Population, total;SP.POP.TOTL;United States;USA;2015;YR2015;321815121
Population, total;SP.POP.TOTL;United States;USA;2016;YR2016;324353340
Population, total;SP.POP.TOTL;United States;USA;2017;YR2017;326608609
Population, total;SP.POP.TOTL;United States;USA;2018;YR2018;328529577
Population, total;SP.POP.TOTL;United States;USA;2019;YR2019;330226227
Population, total;SP.POP.TOTL;United States;USA;2020;YR2020;331577720
Population, total;SP.POP.TOTL;United States;USA;2021;YR2021;332099760
Population, total;SP.POP.TOTL;United States;USA;2022;YR2022;334017321
Population, total;SP.POP.TOTL;United States;USA;2023;YR2023;336806231
Population, total;SP.POP.TOTL;United States;USA;2024;YR2024;340110988
Population, total;SP.POP.TOTL;Ukraine;UKR;2004;YR2004;47979507
Population, total;SP.POP.TOTL;Ukraine;UKR;2005;YR2005;47585556
Population, total;SP.POP.TOTL;Ukraine;UKR;2006;YR2006;47278694
Population, total;SP.POP.TOTL;Ukraine;UKR;2007;YR2007;47062798
Population, total;SP.POP.TOTL;Ukraine;UKR;2008;YR2008;46819175
Population, total;SP.POP.TOTL;Ukraine;UKR;2009;YR2009;46623731
Population, total;SP.POP.TOTL;Ukraine;UKR;2010;YR2010;46456003
Population, total;SP.POP.TOTL;Ukraine;UKR;2011;YR2011;46307853
Population, total;SP.POP.TOTL;Ukraine;UKR;2012;YR2012;46210056
Population, total;SP.POP.TOTL;Ukraine;UKR;2013;YR2013;46126770
Population, total;SP.POP.TOTL;Ukraine;UKR;2014;YR2014;45972380
Population, total;SP.POP.TOTL;Ukraine;UKR;2015;YR2015;45784896
Population, total;SP.POP.TOTL;Ukraine;UKR;2016;YR2016;45616832
Population, total;SP.POP.TOTL;Ukraine;UKR;2017;YR2017;45436041
Population, total;SP.POP.TOTL;Ukraine;UKR;2018;YR2018;45208907
Population, total;SP.POP.TOTL;Ukraine;UKR;2019;YR2019;44957458
Population, total;SP.POP.TOTL;Ukraine;UKR;2020;YR2020;44680014
Population, total;SP.POP.TOTL;Ukraine;UKR;2021;YR2021;44298640
Population, total;SP.POP.TOTL;Ukraine;UKR;2022;YR2022;41048766
Population, total;SP.POP.TOTL;Ukraine;UKR;2023;YR2023;37732836
Population, total;SP.POP.TOTL;Ukraine;UKR;2024;YR2024;37860221
